culture,transcription,syllableCount,isAccented,accentPosition,u_ʏ,u_ə,a_a,u_u,o_ə‿ʊ,a_ə,a_ɑ,i_i,o_ɔ,ie_i,u_ʌ,a_∅,ai_aj,a_ɛ,o_ɞ,i_ɪ,a_e,u_∅,a_æ
Turkic,'jʏsəf,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian,sadaf,2,,NaN,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Turkic,'jusəf,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabic,sə‿ʊtʰə‿ʊ,2,,NaN,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spanish,ə'dɑɬ,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Portuguese,sadaf,2,,NaN,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian,siŋ,1,,NaN,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Arabic,ɹwɑnɑ,2,,NaN,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Indian,sɑdɑf,2,,NaN,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Portuguese,ə'dɑɬ,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Persian,najɔmi,3,,NaN,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Iranian,aki,2,,NaN,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Ethiopian,'sʌɬtʰn̩,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Japanese,'sajɾi,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Japanese,nɛjɞmɪ,3,,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Chinese,eki,2,,NaN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Hebrew,ɕĩni,2,,NaN,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Russian,sɬ̩tʰæn,2,,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
